"","Target","PIDGene","InteractionType","Group","InPID"
"21","STAT5A","CD40","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"22","SPI1","CD40","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"23","SPIB","CD40","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"24","STAT1","CD40","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"25","RELA","CD40","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"26","IRF1","CD40","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"27","NFKB1","CD40","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"28","REL","CD40LG","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"29","GATA3","CD40LG","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"30","JUND","CD40LG","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"31","NFKB1","CD40LG","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"32","RELA","CD40LG","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"33","NFATC2","CD40LG","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"34","FOS","CD40LG","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"35","ETS1","CD8A","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"36","GATA3","CD8A","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"37","PRKACA","CIITA","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"38","CREB1","CIITA","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"39","PRDM1","CIITA","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"40","IRF4","CIITA","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"41","GSK3B","CIITA","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"42","STAT1","CIITA","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"43","RUNX3","CIITA","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"44","IRF1","CIITA","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"45","IRF2","CIITA","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"46","MAPK3","CIITA","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"47","ATF1","CIITA","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"48","SPI1","CIITA","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"49","MAPK1","CIITA","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"50","USF1","CIITA","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"51","TCF3","CIITA","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"52","SPI1","CORO1A","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"53","CDK5","CORO1A","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"54","STAT1","DCLRE1C","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"55","PRKDC","DCLRE1C","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"56","ATM","DCLRE1C","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"57","E2F1","DCLRE1C","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"58","RUNX3","DOCK2","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"59","MITF","DOCK2","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"60","SPI1","DOCK2","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"61","FOS","DOCK2","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"62","TAL1","DOCK2","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"63","STAT1","DOCK8","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"64","EGR1","FCHO1","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"65","CHUK","IKBKB","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"66","CASP3","IKBKB","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"67","RELA","IKBKB","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"68","PLK1","IKBKB","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"69","PPM1B","IKBKB","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"70","IKBKB","IKBKB","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"71","YWHAB","IKBKB","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"72","CDKN2A","IKBKB","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"73","NFKBIA","IKBKB","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"74","IKBKG","IKBKB","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"75","DOK1","IKBKB","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"76","PRKAA2","IKBKB","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"77","IKBKB","IKBKB","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"78","PPM1A","IKBKB","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"79","PRKCZ","IKBKB","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"80","NFKB1","IKBKB","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"81","TSC1","IKBKB","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"82","SRC","IKBKB","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"83","IRS1","IKBKB","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"84","MAP3K7","IKBKB","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"85","CYLD","IKBKB","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"86","FOXO3","IKBKB","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"87","PPP2CB","IKBKB","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"88","SYK","IKZF1","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"89","CSNK2A1","IKZF1","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"90","SPI1","IKZF1","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"91","CSNK2B","IKZF1","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"92","STAT3","IL21","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"93","TBX21","IL21R","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"94","STAT1","IL21R","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"95","STAT1","IL7R","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"96","TEC","ITK","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"97","ITK","ITK","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"98","BMX","ITK","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"99","BTK","ITK","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"100","SIGLEC10","ITK","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"101","LCK","ITK","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"102","ITK","ITK","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"103","CD28","ITK","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"104","BTK","ITK","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"105","JAK3","JAK3","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"106","SIGLEC10","JAK3","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"107","PLD2","JAK3","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"108","STAT5A","JAK3","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"109","ETS1","JAK3","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"110","ETS2","JAK3","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"111","JAK1","JAK3","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"112","JAK3","JAK3","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"113","MAPK3","LAT","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"114","ZAP70","LAT","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"115","FYN","LAT","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"116","LCK","LAT","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"117","MAPK8","LAT","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"118","PTPN6","LCK","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"119","PRKCQ","LCK","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"120","PRKACA","LCK","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"121","LCP2","LCK","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"122","ZAP70","LCK","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"123","MYB","LCK","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"124","MUC1","LCK","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"125","PTEN","LCK","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"126","SH2B3","LCK","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"127","PTPN6","LCK","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"128","SHC1","LCK","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"129","PTPRC","LCK","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"130","FOXP3","LCK","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"131","NFKBIA","LCK","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"132","MAPK1","LCK","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"133","PTPN22","LCK","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"134","PIK3R1","LCK","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"135","ETS1","LCK","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"136","MAPK3","LCK","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"137","EZR","LCK","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"138","DAPP1","LCK","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"139","ITK","LCK","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"140","DEF6","LCK","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"141","ACP1","LCK","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"142","CD5","LCK","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"143","CD28","LCK","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"144","CD3E","LCK","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"145","LCK","LCK","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"146","MED28","LCK","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"147","ESR1","LCK","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"148","CD33","LCK","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"149","LCK","LCK","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"150","IL2RB","LCK","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"151","SYK","LCK","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"152","VAV1","LCK","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"153","MAPK3","LCK","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"154","PRKCD","LCK","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"155","CTLA4","LCK","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"156","PLCG2","LCK","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"157","PRKCA","LCK","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"158","LAT","LCK","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"159","ADAM15","LCK","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"160","SIGLEC10","LCK","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"161","PRKDC","LIG4","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"162","CHUK","MAP3K14","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"163","CHUK","MAP3K14","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"164","NFKB2","MAP3K14","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"165","EGR1","MAP3K14","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"166","E2F1","MAP3K14","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"167","MAP3K8","MAP3K14","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"168","LRRK2","MSN","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"169","MYC","MSN","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"170","PRKCQ","MSN","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"171","TAL1","MSN","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"172","STAT1","MSN","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"173","STK10","MSN","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"174","ROCK1","MSN","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"175","PRKDC","NHEJ1","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"176","ATM","NHEJ1","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"177","E2F4","POLD1","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"178","E2F1","POLD1","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"179","TP53","POLD1","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"180","ETS1","POLD1","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"181","MYC","POLD2","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"182","JUN","POLD2","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"183","TFAP2A","POLD2","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"184","E2F4","POLD2","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"185","CREB1","POLD2","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"186","NFIC","POLD2","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"187","PRKDC","PRKDC","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"188","DCLRE1C","PRKDC","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"189","PRKDC","PRKDC","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"190","SRF","PRKDC","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"191","MYC","PRKDC","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"192","WRN","PRKDC","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"193","TDP1","PRKDC","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"194","TP53","PRKDC","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"195","JUN","PRKDC","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"196","ATR","PRKDC","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"197","PDX1","PRKDC","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"198","PNKP","PRKDC","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"199","CASP2","PRKDC","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"200","RPA2","PRKDC","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"201","CHEK2","PRKDC","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"202","LIG4","PRKDC","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"203","NR3C1","PRKDC","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"204","ATM","PRKDC","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"205","POU2F1","PRKDC","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"206","AKT1","PRKDC","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"207","IRF3","PRKDC","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"208","HNRNPU","PRKDC","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"209","E2F1","PRKDC","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"210","E2F4","PRKDC","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"211","NHEJ1","PRKDC","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"212","GOLPH3","PRKDC","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"213","TYK2","PTPRC","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"214","LCK","PTPRC","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"215","ESR2","PTPRC","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"216","JAK2","PTPRC","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"217","SPI1","PTPRC","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"218","LYN","PTPRC","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"219","JAK1","PTPRC","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"220","SKAP1","PTPRC","PIDGeneIsPTMEffector","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"221","FOXO1","RAG1","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"222","FOXP1","RAG1","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"223","LEF1","RAG2","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"224","MYB","RAG2","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"225","E2F4","REL","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"226","IL2RA","REL","PIDGeneIsTF","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"227","SELE","REL","PIDGeneIsTF","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
